iso14443a card select failed
#db# 9410 mV       
#db# 9667 mV       
#db# 9796 mV       
#db# 9474 mV       
#db# 9796 mV       
#db# 9442 mV       
#db# 9764 mV       
#db# 9506 mV       
#db# 9410 mV       
#db# 9635 mV       
#db# 9635 mV       
#db# 9829 mV       
#db# 9603 mV       
#db# 9442 mV       
#db# 9571 mV       
#db# 9571 mV       
#db# 9442 mV       
#db# 9635 mV       
#db# 9635 mV       
#db# 9764 mV       
#db# 9635 mV       
#db# 9345 mV       
#db# 9506 mV       
#db# 9700 mV       
#db# 9410 mV       
#db# 9377 mV       
#db# 9571 mV       
#db# 9345 mV       
#db# 9345 mV       
#db# 9732 mV       
#db# 9410 mV       
#db# 9410 mV       
#db# 9506 mV       
#db# 9539 mV       
#db# 9410 mV       
#db# 9539 mV       
#db# 9474 mV       
#db# 9377 mV       
#db# 9732 mV       
#db# 9732 mV       
#db# 9700 mV       
#db# 9506 mV       
#db# 9442 mV       
#db# 9603 mV       
#db# 9700 mV       
#db# 9474 mV       
#db# 9506 mV       
#db# 9764 mV       
#db# 9442 mV       
#db# 9571 mV       
#db# 9539 mV       
#db# 9764 mV       
#db# 9764 mV       
#db# 9796 mV       
#db# 9603 mV       
#db# 9539 mV       
#db# 9667 mV       
#db# 9700 mV       
#db# 9539 mV       
#db# 9603 mV       
#db# 9474 mV       
#db# 9313 mV       
#db# 9410 mV       
#db# 9732 mV       
#db# 9635 mV       
#db# 9635 mV       
#db# 9474 mV       
#db# 9474 mV       
#db# 9700 mV       
#db# 9603 mV       
#db# 9667 mV       
#db# 9571 mV       
#db# 9539 mV       
#db# 9829 mV       
#db# 9732 mV       
#db# 9700 mV       
#db# 9635 mV       
#db# 9667 mV       
#db# 9700 mV       
#db# 9667 mV       
#db# 9700 mV       
#db# 9764 mV       
#db# 9603 mV       
#db# 9764 mV       
#db# 9764 mV       
#db# 9667 mV       
#db# 9506 mV       
#db# 9667 mV       
#db# 9474 mV       
#db# 9732 mV       
#db# 9539 mV       
#db# 9764 mV       
#db# 9764 mV       
#db# 9764 mV       
#db# 9635 mV       
#db# 9667 mV       
#db# 9442 mV       
#db# 9764 mV       
#db# 9539 mV       
#db# 9539 mV       
#db# 9732 mV       
#db# 9474 mV       
#db# 9506 mV       
#db# 9764 mV       
#db# 9700 mV       
#db# 9442 mV       
#db# 9474 mV       
#db# 9796 mV       
#db# 9603 mV       
#db# 9764 mV       
#db# 9796 mV       
#db# 9700 mV       
#db# 9796 mV       
#db# 9764 mV       
#db# 9796 mV       
#db# 9667 mV       
